"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"127","#PremierLeague Chelsea v Everton - PL2 2016/17: The Chelsea Development Squad take on Everton U23s at the Recreation Ground in Aldershot in…",FALSE,0,NA,2017-04-22 03:27:08,FALSE,NA,"855623980773908480",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"128","#PremierLeague Live Chelsea v Blackburn U18 2016/17: Chelsea U18s take on Blackburn U18s in the U18 Premier League at Cobham Training…",FALSE,0,NA,2017-04-22 03:27:07,FALSE,NA,"855623978898997248",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"129","#PremierLeague Wembley Live: Join Ben Andrews, Jason Cundy and Pat Nevin live from Wembley as we build up to the Blues' clash with…",FALSE,0,NA,2017-04-22 03:27:07,FALSE,NA,"855623976936120320",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","PremierLeague8",0,FALSE,FALSE,NA,NA
"130","#PremierLeague

Por esta acción, Zlatan Ibrahimovic sufrió rotura de ligamentos y estará fuera lo que resta de la t… https://t.co/p2U2DzMBsk",FALSE,0,NA,2017-04-22 03:19:59,TRUE,NA,"855622181426008064",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ScoresAndSounds",0,FALSE,FALSE,NA,NA
"131","#Super6 is Back Predict 6 scores £250,000 to be won it's Free &gt;&gt;&gt; https://t.co/9CwLmVxdw9  #premierleague https://t.co/QGFgTmuJ4m",FALSE,0,NA,2017-04-22 03:17:12,FALSE,NA,"855621481396654081",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","FreeBetsPage",0,FALSE,FALSE,NA,NA
"132","Some outstanding goals last week ������ 

Your turn, Matchweek 34...  #PremierLeague https://t.co/FqvFacf3Kx",FALSE,0,NA,2017-04-22 03:15:14,FALSE,NA,"855620984824528899",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","league90com",0,FALSE,FALSE,NA,NA
"133","My #FPL squad after some final changes for #GW34 #PremierLeague #MUFC #MCFC #CPFC #THFC https://t.co/KB20x9wuq2 https://t.co/z7TXo3HMxa",FALSE,0,NA,2017-04-22 03:11:04,FALSE,NA,"855619937456369664",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TFS_CPalace",0,FALSE,FALSE,NA,NA
"134","#PremierLeague 11:00
#SwanseaCity vs #StokeCity
#Bournemouth vs #Middlesbrough
#HullCity vs #Watford
#WestHam vs #Everton",FALSE,0,NA,2017-04-22 03:08:10,FALSE,NA,"855619210101354497",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","lucasmorel21",0,FALSE,FALSE,NA,NA
"135","Luto en la #PremierLeague: QEPD Ugo Ehiogu https://t.co/eQW3gmj3ma https://t.co/uWyQn42twW https://t.co/IGbFSPhKUD",FALSE,1,NA,2017-04-22 03:05:21,FALSE,NA,"855618499405807616",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ElKalimanDelGol",0,FALSE,FALSE,NA,NA
"136","#PremierLeague11:00Bournemouth - MiddlesbroughHull City - WatfordSwansea - Stoke CityWest Ham - Everton#FútbolDeSábado",FALSE,0,NA,2017-04-22 03:04:38,FALSE,NA,"855618318048342016",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","gonzagarcia90",0,FALSE,FALSE,NA,NA
